timestamp,phase,round,episode,opponent,epsilon,outcome,p1_moves,p2_moves
2025-11-27T08:07:28.020148+00:00,run_start,0,0,,1.0,,,
2025-11-27T08:07:52.983629+00:00,train,1,1,self,1.0,0,79,
2025-11-27T08:07:52.984890+00:00,train,1,2,self,1.0,0,93,
2025-11-27T08:07:52.985099+00:00,train,1,3,self,1.0,0,96,
2025-11-27T08:07:52.985298+00:00,train,1,4,self,1.0,0,98,
2025-11-27T08:07:52.985478+00:00,train,1,5,self,1.0,0,93,
2025-11-27T08:07:52.985648+00:00,train,1,6,self,1.0,0,99,
2025-11-27T08:07:52.985798+00:00,train,1,7,self,1.0,0,99,
2025-11-27T08:07:52.985953+00:00,train,1,8,self,1.0,0,100,
2025-11-27T08:07:52.986099+00:00,train,1,9,self,1.0,0,88,
2025-11-27T08:07:52.986244+00:00,train,1,10,self,1.0,0,98,
2025-11-27T08:07:52.986387+00:00,train,1,11,self,1.0,0,99,
2025-11-27T08:07:52.986532+00:00,train,1,12,self,1.0,0,100,
2025-11-27T08:07:52.986675+00:00,train,1,13,self,1.0,0,93,
2025-11-27T08:07:52.986818+00:00,train,1,14,self,1.0,0,94,
2025-11-27T08:07:52.986961+00:00,train,1,15,self,1.0,0,98,
2025-11-27T08:07:52.987104+00:00,train,1,16,self,1.0,0,99,
2025-11-27T08:07:52.987254+00:00,train,1,17,self,1.0,0,92,
2025-11-27T08:07:52.987401+00:00,train,1,18,self,1.0,0,98,
2025-11-27T08:07:52.987544+00:00,train,1,19,self,1.0,0,100,
2025-11-27T08:07:52.987688+00:00,train,1,20,self,1.0,0,100,
2025-11-27T08:07:52.987834+00:00,train,1,21,self,1.0,0,81,
2025-11-27T08:07:52.987976+00:00,train,1,22,self,1.0,0,92,
2025-11-27T08:07:52.988119+00:00,train,1,23,self,1.0,0,94,
2025-11-27T08:07:52.988263+00:00,train,1,24,self,1.0,0,99,
2025-11-27T08:07:52.988407+00:00,train,1,25,self,1.0,0,96,
2025-11-27T08:07:52.988550+00:00,train,1,26,self,1.0,0,97,
2025-11-27T08:07:52.988693+00:00,train,1,27,self,1.0,0,99,
2025-11-27T08:07:52.988835+00:00,train,1,28,self,1.0,0,99,
2025-11-27T08:07:52.988977+00:00,train,1,29,self,1.0,0,86,
2025-11-27T08:07:52.989119+00:00,train,1,30,self,1.0,0,95,
2025-11-27T08:07:52.989261+00:00,train,1,31,self,1.0,0,95,
2025-11-27T08:07:52.989408+00:00,train,1,32,self,1.0,0,99,
2025-11-27T08:07:52.989553+00:00,train,1,33,self,1.0,0,94,
2025-11-27T08:07:52.989696+00:00,train,1,34,self,1.0,0,95,
2025-11-27T08:07:52.989839+00:00,train,1,35,self,1.0,0,98,
2025-11-27T08:07:52.989982+00:00,train,1,36,self,1.0,0,100,
2025-11-27T08:07:52.990124+00:00,train,1,37,self,1.0,0,87,
2025-11-27T08:07:52.990267+00:00,train,1,38,self,1.0,0,93,
2025-11-27T08:07:52.990414+00:00,train,1,39,self,1.0,0,95,
2025-11-27T08:07:52.990558+00:00,train,1,40,self,1.0,0,96,
2025-11-27T08:07:52.990701+00:00,train,1,41,self,1.0,0,90,
2025-11-27T08:07:52.990843+00:00,train,1,42,self,1.0,0,93,
2025-11-27T08:07:52.990986+00:00,train,1,43,self,1.0,0,96,
2025-11-27T08:07:52.991128+00:00,train,1,44,self,1.0,0,100,
2025-11-27T08:07:52.991272+00:00,train,1,45,self,1.0,0,92,
2025-11-27T08:07:52.991414+00:00,train,1,46,self,1.0,0,99,
2025-11-27T08:07:52.991556+00:00,train,1,47,self,1.0,0,99,
2025-11-27T08:07:52.991700+00:00,train,1,48,self,1.0,0,100,
2025-11-27T08:07:52.991843+00:00,train,1,49,self,1.0,0,99,
2025-11-27T08:07:52.991986+00:00,train,1,50,self,1.0,0,100,
2025-11-27T08:07:52.992130+00:00,train,1,51,self,1.0,0,100,
2025-11-27T08:07:52.992274+00:00,train,1,52,self,1.0,0,100,
2025-11-27T08:07:52.992417+00:00,train,1,53,self,1.0,0,91,
2025-11-27T08:07:52.992561+00:00,train,1,54,self,1.0,0,93,
2025-11-27T08:07:52.992704+00:00,train,1,55,self,1.0,0,93,
2025-11-27T08:07:52.992848+00:00,train,1,56,self,1.0,0,100,
2025-11-27T08:07:52.992991+00:00,train,1,57,self,1.0,0,89,
2025-11-27T08:07:52.993135+00:00,train,1,58,self,1.0,0,96,
2025-11-27T08:07:52.993278+00:00,train,1,59,self,1.0,0,98,
