timestamp,phase,round,episode,opponent,epsilon,outcome,p1_moves,p2_moves
2025-11-27T01:50:22.110956+00:00,run_start,0,0,,1.0,,,
2025-11-27T01:50:33.095607+00:00,train,1,1,self,1.0,0,90,
2025-11-27T01:50:33.095853+00:00,train,1,2,self,1.0,0,100,
2025-11-27T01:50:33.096246+00:00,train,1,3,self,1.0,0,93,
2025-11-27T01:50:33.096418+00:00,train,1,4,self,1.0,0,99,
2025-11-27T01:50:33.096575+00:00,train,1,5,self,1.0,0,91,
2025-11-27T01:50:33.096728+00:00,train,1,6,self,1.0,0,97,
2025-11-27T01:50:33.096875+00:00,train,1,7,self,1.0,0,95,
2025-11-27T01:50:33.097022+00:00,train,1,8,self,1.0,0,96,
2025-11-27T01:50:33.097168+00:00,train,1,9,self,1.0,0,79,
2025-11-27T01:50:33.097314+00:00,train,1,10,self,1.0,0,88,
2025-11-27T01:50:33.097459+00:00,train,1,11,self,1.0,0,82,
2025-11-27T01:50:33.097605+00:00,train,1,12,self,1.0,0,99,
2025-11-27T01:50:33.097750+00:00,train,1,13,self,1.0,0,93,
2025-11-27T01:50:33.097895+00:00,train,1,14,self,1.0,0,99,
2025-11-27T01:50:33.098040+00:00,train,1,15,self,1.0,0,95,
2025-11-27T01:50:33.098183+00:00,train,1,16,self,1.0,0,97,
2025-11-27T01:50:33.098328+00:00,train,1,17,self,1.0,0,87,
2025-11-27T01:50:33.098472+00:00,train,1,18,self,1.0,0,98,
2025-11-27T01:50:33.098619+00:00,train,1,19,self,1.0,0,96,
2025-11-27T01:50:33.098772+00:00,train,1,20,self,1.0,0,99,
2025-11-27T01:50:33.098918+00:00,train,1,21,self,1.0,0,98,
2025-11-27T01:50:33.099075+00:00,train,1,22,self,1.0,0,100,
2025-11-27T01:50:33.099234+00:00,train,1,23,self,1.0,0,95,
2025-11-27T01:50:33.099380+00:00,train,1,24,self,1.0,0,96,
2025-11-27T01:50:33.099525+00:00,train,1,25,self,1.0,0,97,
2025-11-27T01:50:33.099670+00:00,train,1,26,self,1.0,0,98,
2025-11-27T01:50:33.099813+00:00,train,1,27,self,1.0,0,97,
2025-11-27T01:50:33.099957+00:00,train,1,28,self,1.0,0,98,
2025-11-27T01:50:33.100101+00:00,train,1,29,self,1.0,0,98,
2025-11-27T01:50:33.100245+00:00,train,1,30,self,1.0,0,99,
2025-11-27T01:50:33.100390+00:00,train,1,31,self,1.0,0,98,
2025-11-27T01:50:33.100532+00:00,train,1,32,self,1.0,0,99,
2025-11-27T01:50:33.100675+00:00,train,1,33,self,1.0,0,77,
2025-11-27T01:50:33.100818+00:00,train,1,34,self,1.0,0,96,
2025-11-27T01:50:33.100964+00:00,train,1,35,self,1.0,0,95,
2025-11-27T01:50:33.101108+00:00,train,1,36,self,1.0,0,98,
2025-11-27T01:50:33.101251+00:00,train,1,37,self,1.0,0,95,
2025-11-27T01:50:33.101395+00:00,train,1,38,self,1.0,0,100,
2025-11-27T01:50:33.101555+00:00,train,1,39,self,1.0,0,91,
2025-11-27T01:50:33.101712+00:00,train,1,40,self,1.0,0,92,
2025-11-27T01:50:33.101874+00:00,train,1,41,self,1.0,0,98,
2025-11-27T01:50:33.102015+00:00,train,1,42,self,1.0,0,98,
2025-11-27T01:50:33.102154+00:00,train,1,43,self,1.0,0,89,
2025-11-27T01:50:33.102293+00:00,train,1,44,self,1.0,0,100,
2025-11-27T01:50:33.102433+00:00,train,1,45,self,1.0,0,92,
2025-11-27T01:50:33.102572+00:00,train,1,46,self,1.0,0,100,
2025-11-27T01:50:33.102712+00:00,train,1,47,self,1.0,0,97,
2025-11-27T01:50:33.102852+00:00,train,1,48,self,1.0,0,99,
2025-11-27T01:50:33.102991+00:00,train,1,49,self,1.0,0,93,
2025-11-27T01:50:33.103130+00:00,train,1,50,self,1.0,0,98,
2025-11-27T01:50:33.103269+00:00,train,1,51,self,1.0,0,96,
2025-11-27T01:50:33.103413+00:00,train,1,52,self,1.0,0,100,
2025-11-27T01:50:33.103553+00:00,train,1,53,self,1.0,0,95,
2025-11-27T01:50:33.103692+00:00,train,1,54,self,1.0,0,98,
