timestamp,phase,round,episode,opponent,epsilon,outcome,moves,win_rate,baseline_win_rate
2025-11-27T00:30:41.636045+00:00,run_start,0,0,,1.0,,,,
2025-11-27T00:32:16.717268+00:00,train,1,1,self,1.0,0,94,,
2025-11-27T00:32:16.718708+00:00,train,1,2,self,1.0,0,100,,
2025-11-27T00:32:16.718890+00:00,train,1,3,self,1.0,0,95,,
2025-11-27T00:32:16.719067+00:00,train,1,4,self,1.0,0,97,,
2025-11-27T00:32:16.719231+00:00,train,1,5,self,1.0,0,95,,
2025-11-27T00:32:16.719389+00:00,train,1,6,self,1.0,0,99,,
2025-11-27T00:32:16.719545+00:00,train,1,7,self,1.0,0,98,,
2025-11-27T00:32:16.719705+00:00,train,1,8,self,1.0,0,100,,
2025-11-27T00:32:16.719862+00:00,train,1,9,self,1.0,0,94,,
2025-11-27T00:32:16.720021+00:00,train,1,10,self,1.0,0,100,,
2025-11-27T00:32:16.720177+00:00,train,1,11,self,1.0,0,98,,
2025-11-27T00:32:16.720330+00:00,train,1,12,self,1.0,0,100,,
2025-11-27T00:32:16.720491+00:00,train,1,13,self,1.0,0,94,,
2025-11-27T00:32:16.720643+00:00,train,1,14,self,1.0,0,97,,
2025-11-27T00:32:16.720797+00:00,train,1,15,self,1.0,0,100,,
2025-11-27T00:32:16.720962+00:00,train,1,16,self,1.0,0,100,,
2025-11-27T00:32:16.721114+00:00,train,1,17,self,1.0,0,85,,
2025-11-27T00:32:16.721272+00:00,train,1,18,self,1.0,0,100,,
2025-11-27T00:32:16.721428+00:00,train,1,19,self,1.0,0,89,,
2025-11-27T00:32:16.721579+00:00,train,1,20,self,1.0,0,96,,
2025-11-27T00:32:16.721735+00:00,train,1,21,self,1.0,0,97,,
2025-11-27T00:32:16.721887+00:00,train,1,22,self,1.0,0,97,,
2025-11-27T00:32:16.722040+00:00,train,1,23,self,1.0,0,90,,
2025-11-27T00:32:16.722191+00:00,train,1,24,self,1.0,0,100,,
2025-11-27T00:32:16.722344+00:00,train,1,25,self,1.0,0,100,,
2025-11-27T00:32:16.722497+00:00,train,1,26,self,1.0,0,100,,
2025-11-27T00:32:16.722649+00:00,train,1,27,self,1.0,0,96,,
2025-11-27T00:32:16.722801+00:00,train,1,28,self,1.0,0,100,,
2025-11-27T00:32:16.722951+00:00,train,1,29,self,1.0,0,92,,
2025-11-27T00:32:16.723102+00:00,train,1,30,self,1.0,0,97,,
2025-11-27T00:32:16.723253+00:00,train,1,31,self,1.0,0,98,,
2025-11-27T00:32:16.723404+00:00,train,1,32,self,1.0,0,99,,
2025-11-27T00:32:16.723557+00:00,train,1,33,self,1.0,0,92,,
2025-11-27T00:32:16.723708+00:00,train,1,34,self,1.0,0,99,,
2025-11-27T00:32:16.723859+00:00,train,1,35,self,1.0,0,82,,
2025-11-27T00:32:16.724009+00:00,train,1,36,self,1.0,0,100,,
2025-11-27T00:32:16.724160+00:00,train,1,37,self,1.0,0,92,,
2025-11-27T00:32:16.724312+00:00,train,1,38,self,1.0,0,100,,
2025-11-27T00:32:16.724464+00:00,train,1,39,self,1.0,0,84,,
2025-11-27T00:32:16.724625+00:00,train,1,40,self,1.0,0,94,,
2025-11-27T00:32:16.724771+00:00,train,1,41,self,1.0,0,99,,
2025-11-27T00:32:16.724916+00:00,train,1,42,self,1.0,0,100,,
2025-11-27T00:32:16.725062+00:00,train,1,43,self,1.0,0,92,,
2025-11-27T00:32:16.725208+00:00,train,1,44,self,1.0,0,100,,
2025-11-27T00:32:16.725354+00:00,train,1,45,self,1.0,0,92,,
2025-11-27T00:32:16.725499+00:00,train,1,46,self,1.0,0,100,,
2025-11-27T00:32:16.725645+00:00,train,1,47,self,1.0,0,86,,
2025-11-27T00:32:16.725792+00:00,train,1,48,self,1.0,0,93,,
2025-11-27T00:32:16.725937+00:00,train,1,49,self,1.0,0,97,,
2025-11-27T00:32:16.726083+00:00,train,1,50,self,1.0,0,99,,
2025-11-27T00:32:16.726230+00:00,train,1,51,self,1.0,0,90,,
2025-11-27T00:32:16.726376+00:00,train,1,52,self,1.0,0,96,,
2025-11-27T00:32:16.726522+00:00,train,1,53,self,1.0,0,98,,
2025-11-27T00:32:16.726668+00:00,train,1,54,self,1.0,0,100,,
2025-11-27T00:32:16.726814+00:00,train,1,55,self,1.0,0,90,,
2025-11-27T00:32:16.726960+00:00,train,1,56,self,1.0,0,97,,
2025-11-27T00:32:16.727108+00:00,train,1,57,self,1.0,0,88,,
2025-11-27T00:32:16.727254+00:00,train,1,58,self,1.0,0,98,,
2025-11-27T00:32:16.727400+00:00,train,1,59,self,1.0,0,96,,
2025-11-27T00:32:16.727548+00:00,train,1,60,self,1.0,0,98,,
2025-11-27T00:32:16.727693+00:00,train,1,61,self,1.0,0,96,,
2025-11-27T00:32:16.727838+00:00,train,1,62,self,1.0,0,99,,
2025-11-27T00:32:16.727983+00:00,train,1,63,self,1.0,0,90,,
2025-11-27T00:32:16.728129+00:00,train,1,64,self,1.0,0,100,,
2025-11-27T00:32:16.728273+00:00,train,1,65,self,1.0,0,95,,
2025-11-27T00:32:16.728831+00:00,train,1,66,self,1.0,0,98,,
2025-11-27T00:32:16.729002+00:00,train,1,67,self,1.0,0,98,,
2025-11-27T00:32:16.729155+00:00,train,1,68,self,1.0,0,99,,
2025-11-27T00:32:16.729302+00:00,train,1,69,self,1.0,0,95,,
2025-11-27T00:32:16.729446+00:00,train,1,70,self,1.0,0,99,,
2025-11-27T00:32:16.729591+00:00,train,1,71,self,1.0,0,88,,
2025-11-27T00:32:16.729733+00:00,train,1,72,self,1.0,0,97,,
2025-11-27T00:32:16.729873+00:00,train,1,73,self,1.0,0,99,,
2025-11-27T00:32:16.730018+00:00,train,1,74,self,1.0,0,99,,
2025-11-27T00:32:16.730156+00:00,train,1,75,self,1.0,0,99,,
2025-11-27T00:32:16.730293+00:00,train,1,76,self,1.0,0,100,,
2025-11-27T00:32:16.730431+00:00,train,1,77,self,1.0,0,96,,
2025-11-27T00:32:16.730569+00:00,train,1,78,self,1.0,0,100,,
2025-11-27T00:32:16.730706+00:00,train,1,79,self,1.0,0,92,,
2025-11-27T00:32:16.730843+00:00,train,1,80,self,1.0,0,99,,
2025-11-27T00:32:16.730981+00:00,train,1,81,self,1.0,0,93,,
2025-11-27T00:32:16.731124+00:00,train,1,82,self,1.0,0,98,,
2025-11-27T00:32:16.731262+00:00,train,1,83,self,1.0,0,97,,
2025-11-27T00:32:16.731400+00:00,train,1,84,self,1.0,0,99,,
2025-11-27T00:32:16.731537+00:00,train,1,85,self,1.0,0,97,,
2025-11-27T00:32:16.731674+00:00,train,1,86,self,1.0,0,97,,
2025-11-27T00:32:16.731813+00:00,train,1,87,self,1.0,0,98,,
2025-11-27T00:32:16.731950+00:00,train,1,88,self,1.0,0,99,,
2025-11-27T00:32:16.732087+00:00,train,1,89,self,1.0,0,92,,
2025-11-27T00:32:16.732229+00:00,train,1,90,self,1.0,0,97,,
2025-11-27T00:32:16.732367+00:00,train,1,91,self,1.0,0,88,,
2025-11-27T00:32:16.732505+00:00,train,1,92,self,1.0,0,97,,
2025-11-27T00:32:16.732644+00:00,train,1,93,self,1.0,0,91,,
2025-11-27T00:32:16.732781+00:00,train,1,94,self,1.0,0,100,,
2025-11-27T00:32:16.732918+00:00,train,1,95,self,1.0,0,87,,
2025-11-27T00:32:16.733055+00:00,train,1,96,self,1.0,0,98,,
2025-11-27T00:32:16.733192+00:00,train,1,97,self,1.0,0,98,,
2025-11-27T00:32:16.733335+00:00,train,1,98,self,1.0,0,98,,
2025-11-27T00:32:16.733473+00:00,train,1,99,self,1.0,0,95,,
2025-11-27T00:32:16.733610+00:00,train,1,100,self,1.0,0,99,,
2025-11-27T00:32:16.733748+00:00,train,1,101,self,1.0,0,92,,
2025-11-27T00:32:16.733886+00:00,train,1,102,self,1.0,0,94,,
2025-11-27T00:32:16.734024+00:00,train,1,103,self,1.0,0,98,,
2025-11-27T00:32:16.734162+00:00,train,1,104,self,1.0,0,100,,
2025-11-27T00:32:16.734299+00:00,train,1,105,self,1.0,0,88,,
2025-11-27T00:32:16.734443+00:00,train,1,106,self,1.0,0,99,,
2025-11-27T00:32:16.734582+00:00,train,1,107,self,1.0,0,93,,
2025-11-27T00:32:16.734720+00:00,train,1,108,self,1.0,0,95,,
2025-11-27T00:32:16.734858+00:00,train,1,109,self,1.0,0,91,,
2025-11-27T00:32:16.734995+00:00,train,1,110,self,1.0,0,100,,
2025-11-27T00:32:16.735133+00:00,train,1,111,self,1.0,0,93,,
2025-11-27T00:32:16.735271+00:00,train,1,112,self,1.0,0,97,,
2025-11-27T00:32:16.735409+00:00,train,1,113,self,1.0,0,90,,
2025-11-27T00:32:16.735552+00:00,train,1,114,self,1.0,0,93,,
