timestamp,phase,round,episode,opponent,epsilon,outcome,p1_moves,p2_moves
2025-11-27T08:32:44.543141+00:00,run_start,0,0,,1.0,,,
2025-11-27T08:32:55.883453+00:00,train,1,1,self,1.0,0,90,
2025-11-27T08:32:55.883710+00:00,train,1,2,self,1.0,0,98,
2025-11-27T08:32:55.884141+00:00,train,1,3,self,1.0,0,80,
2025-11-27T08:32:55.884316+00:00,train,1,4,self,1.0,0,100,
2025-11-27T08:32:55.884480+00:00,train,1,5,self,1.0,0,98,
2025-11-27T08:32:55.884635+00:00,train,1,6,self,1.0,0,99,
2025-11-27T08:32:55.884786+00:00,train,1,7,self,1.0,0,97,
2025-11-27T08:32:55.884935+00:00,train,1,8,self,1.0,0,99,
2025-11-27T08:32:55.885082+00:00,train,1,9,self,1.0,0,95,
2025-11-27T08:32:55.885228+00:00,train,1,10,self,1.0,0,97,
2025-11-27T08:32:55.885375+00:00,train,1,11,self,1.0,0,98,
2025-11-27T08:32:55.885525+00:00,train,1,12,self,1.0,0,99,
2025-11-27T08:32:55.885672+00:00,train,1,13,self,1.0,0,93,
2025-11-27T08:32:55.885817+00:00,train,1,14,self,1.0,0,96,
2025-11-27T08:32:55.885962+00:00,train,1,15,self,1.0,0,94,
2025-11-27T08:32:55.886106+00:00,train,1,16,self,1.0,0,100,
2025-11-27T08:32:55.886256+00:00,train,1,17,self,1.0,0,93,
2025-11-27T08:32:55.886402+00:00,train,1,18,self,1.0,0,99,
2025-11-27T08:32:55.886546+00:00,train,1,19,self,1.0,0,86,
2025-11-27T08:32:55.886690+00:00,train,1,20,self,1.0,0,90,
2025-11-27T08:32:55.886836+00:00,train,1,21,self,1.0,0,98,
2025-11-27T08:32:55.886981+00:00,train,1,22,self,1.0,0,99,
2025-11-27T08:32:55.887125+00:00,train,1,23,self,1.0,0,92,
2025-11-27T08:32:55.887281+00:00,train,1,24,self,1.0,0,100,
2025-11-27T08:32:55.887427+00:00,train,1,25,self,1.0,0,87,
2025-11-27T08:32:55.887577+00:00,train,1,26,self,1.0,0,100,
2025-11-27T08:32:55.887724+00:00,train,1,27,self,1.0,0,90,
2025-11-27T08:32:55.887871+00:00,train,1,28,self,1.0,0,96,
2025-11-27T08:32:55.888015+00:00,train,1,29,self,1.0,0,88,
2025-11-27T08:32:55.888160+00:00,train,1,30,self,1.0,0,95,
2025-11-27T08:32:55.888304+00:00,train,1,31,self,1.0,0,82,
2025-11-27T08:32:55.888449+00:00,train,1,32,self,1.0,0,95,
2025-11-27T08:32:55.888594+00:00,train,1,33,self,1.0,0,89,
2025-11-27T08:32:55.888739+00:00,train,1,34,self,1.0,0,99,
2025-11-27T08:32:55.888883+00:00,train,1,35,self,1.0,0,85,
2025-11-27T08:32:55.889029+00:00,train,1,36,self,1.0,0,98,
2025-11-27T08:32:55.889174+00:00,train,1,37,self,1.0,0,92,
2025-11-27T08:32:55.889318+00:00,train,1,38,self,1.0,0,94,
2025-11-27T08:32:55.889463+00:00,train,1,39,self,1.0,0,86,
2025-11-27T08:32:55.889610+00:00,train,1,40,self,1.0,0,99,
2025-11-27T08:32:55.889754+00:00,train,1,41,self,1.0,0,94,
2025-11-27T08:32:55.889899+00:00,train,1,42,self,1.0,0,100,
2025-11-27T08:32:55.890044+00:00,train,1,43,self,1.0,0,100,
2025-11-27T08:32:55.890189+00:00,train,1,44,self,1.0,0,100,
2025-11-27T08:32:55.890334+00:00,train,1,45,self,1.0,0,94,
2025-11-27T08:32:55.890479+00:00,train,1,46,self,1.0,0,100,
2025-11-27T08:32:55.890624+00:00,train,1,47,self,1.0,0,98,
2025-11-27T08:32:55.890780+00:00,train,1,48,self,1.0,0,99,
2025-11-27T08:32:55.890920+00:00,train,1,49,self,1.0,0,83,
2025-11-27T08:32:55.891061+00:00,train,1,50,self,1.0,0,95,
2025-11-27T08:32:55.891208+00:00,train,1,51,self,1.0,0,85,
2025-11-27T08:32:55.891349+00:00,train,1,52,self,1.0,0,100,
2025-11-27T08:32:55.891488+00:00,train,1,53,self,1.0,0,96,
2025-11-27T08:32:55.891628+00:00,train,1,54,self,1.0,0,99,
2025-11-27T08:32:55.891767+00:00,train,1,55,self,1.0,0,87,
2025-11-27T08:32:55.891913+00:00,train,1,56,self,1.0,0,93,
2025-11-27T08:32:55.892054+00:00,train,1,57,self,1.0,0,93,
2025-11-27T08:32:55.892195+00:00,train,1,58,self,1.0,0,95,
2025-11-27T08:32:55.892334+00:00,train,1,59,self,1.0,0,89,
2025-11-27T08:32:55.892473+00:00,train,1,60,self,1.0,0,99,
2025-11-27T08:32:55.892613+00:00,train,1,61,self,1.0,0,96,
2025-11-27T08:32:55.892752+00:00,train,1,62,self,1.0,0,98,
2025-11-27T08:32:55.892890+00:00,train,1,63,self,1.0,0,94,
2025-11-27T08:32:55.893029+00:00,train,1,64,self,1.0,0,97,
2025-11-27T08:32:55.893168+00:00,train,1,65,self,1.0,0,84,
2025-11-27T08:32:55.893307+00:00,train,1,66,self,1.0,0,88,
2025-11-27T08:32:55.893446+00:00,train,1,67,self,1.0,0,96,
2025-11-27T08:32:55.893662+00:00,train,1,68,self,1.0,0,100,
2025-11-27T08:32:55.893804+00:00,train,1,69,self,1.0,0,94,
2025-11-27T08:32:55.893943+00:00,train,1,70,self,1.0,0,100,
2025-11-27T08:32:55.894086+00:00,train,1,71,self,1.0,0,96,
2025-11-27T08:32:55.894228+00:00,train,1,72,self,1.0,0,100,
2025-11-27T08:32:55.894384+00:00,train,1,73,self,1.0,0,92,
2025-11-27T08:32:55.894528+00:00,train,1,74,self,1.0,0,97,
