timestamp,phase,curriculum_phase,round,episode,opponent,epsilon,outcome,p1_moves,p2_moves,total_reward,step_reward,hit_reward,miss_reward,sink_reward,win_reward,loss_reward
2025-12-02T00:47:50.031378+00:00,run_start,bootcamp,0,0,,1.0,,,,,,,,,,
2025-12-02T00:47:54.641616+00:00,train,bootcamp,1,1,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.642048+00:00,train,bootcamp,1,2,self,1.0,0,90,,-49.499999999999936,-49.499999999999936,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.642229+00:00,train,bootcamp,1,3,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.642389+00:00,train,bootcamp,1,4,self,1.0,0,93,,-51.14999999999993,-51.14999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.642544+00:00,train,bootcamp,1,5,self,1.0,0,92,,-50.59999999999993,-50.59999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.642694+00:00,train,bootcamp,1,6,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.642844+00:00,train,bootcamp,1,7,self,1.0,0,87,,-47.849999999999945,-47.849999999999945,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.642995+00:00,train,bootcamp,1,8,self,1.0,0,91,,-50.04999999999993,-50.04999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.643144+00:00,train,bootcamp,1,9,self,1.0,0,96,,-52.79999999999992,-52.79999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.643292+00:00,train,bootcamp,1,10,self,1.0,0,90,,-49.499999999999936,-49.499999999999936,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.643443+00:00,train,bootcamp,1,11,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.643593+00:00,train,bootcamp,1,12,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.643740+00:00,train,bootcamp,1,13,self,1.0,0,95,,-52.24999999999992,-52.24999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.643886+00:00,train,bootcamp,1,14,self,1.0,0,95,,-52.24999999999992,-52.24999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.644030+00:00,train,bootcamp,1,15,self,1.0,0,84,,-46.19999999999995,-46.19999999999995,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.644175+00:00,train,bootcamp,1,16,self,1.0,0,94,,-51.699999999999925,-51.699999999999925,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.644319+00:00,train,bootcamp,1,17,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.644463+00:00,train,bootcamp,1,18,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.644607+00:00,train,bootcamp,1,19,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.644750+00:00,train,bootcamp,1,20,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.644893+00:00,train,bootcamp,1,21,self,1.0,0,96,,-52.79999999999992,-52.79999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.645036+00:00,train,bootcamp,1,22,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.645180+00:00,train,bootcamp,1,23,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.645324+00:00,train,bootcamp,1,24,self,1.0,0,97,,-53.349999999999916,-53.349999999999916,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.645468+00:00,train,bootcamp,1,25,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
