timestamp,phase,round,episode,opponent,epsilon,outcome,p1_moves,p2_moves
2025-11-27T00:54:42.898870+00:00,run_start,0,0,,1.0,,,
2025-11-27T00:54:54.644699+00:00,train,1,1,self,1.0,0,,
2025-11-27T00:54:54.645023+00:00,train,1,2,self,1.0,0,,
2025-11-27T00:54:54.645381+00:00,train,1,3,self,1.0,0,,
2025-11-27T00:54:54.645601+00:00,train,1,4,self,1.0,0,,
2025-11-27T00:54:54.645786+00:00,train,1,5,self,1.0,0,,
2025-11-27T00:54:54.646016+00:00,train,1,6,self,1.0,0,,
2025-11-27T00:54:54.646225+00:00,train,1,7,self,1.0,0,,
2025-11-27T00:54:54.646386+00:00,train,1,8,self,1.0,0,,
2025-11-27T00:54:54.646539+00:00,train,1,9,self,1.0,0,,
2025-11-27T00:54:54.646685+00:00,train,1,10,self,1.0,0,,
2025-11-27T00:54:54.646880+00:00,train,1,11,self,1.0,0,,
2025-11-27T00:54:54.647086+00:00,train,1,12,self,1.0,0,,
2025-11-27T00:54:54.647250+00:00,train,1,13,self,1.0,0,,
2025-11-27T00:54:54.647413+00:00,train,1,14,self,1.0,0,,
2025-11-27T00:54:54.647629+00:00,train,1,15,self,1.0,0,,
2025-11-27T00:54:54.647808+00:00,train,1,16,self,1.0,0,,
2025-11-27T00:54:54.647963+00:00,train,1,17,self,1.0,0,,
2025-11-27T00:54:54.648111+00:00,train,1,18,self,1.0,0,,
2025-11-27T00:54:54.648257+00:00,train,1,19,self,1.0,0,,
2025-11-27T00:54:54.648400+00:00,train,1,20,self,1.0,0,,
2025-11-27T00:54:54.648544+00:00,train,1,21,self,1.0,0,,
2025-11-27T00:54:54.648686+00:00,train,1,22,self,1.0,0,,
2025-11-27T00:54:54.648826+00:00,train,1,23,self,1.0,0,,
2025-11-27T00:54:54.648967+00:00,train,1,24,self,1.0,0,,
2025-11-27T00:54:54.649106+00:00,train,1,25,self,1.0,0,,
2025-11-27T00:54:54.649248+00:00,train,1,26,self,1.0,0,,
2025-11-27T00:54:54.649388+00:00,train,1,27,self,1.0,0,,
2025-11-27T00:54:54.649528+00:00,train,1,28,self,1.0,0,,
2025-11-27T00:54:54.649668+00:00,train,1,29,self,1.0,0,,
2025-11-27T00:54:54.649807+00:00,train,1,30,self,1.0,0,,
2025-11-27T00:54:54.649947+00:00,train,1,31,self,1.0,0,,
2025-11-27T00:54:54.650086+00:00,train,1,32,self,1.0,0,,
2025-11-27T00:54:54.650226+00:00,train,1,33,self,1.0,0,,
2025-11-27T00:54:54.650367+00:00,train,1,34,self,1.0,0,,
2025-11-27T00:54:54.650506+00:00,train,1,35,self,1.0,0,,
2025-11-27T00:54:54.650646+00:00,train,1,36,self,1.0,0,,
2025-11-27T00:54:54.650785+00:00,train,1,37,self,1.0,0,,
2025-11-27T00:54:54.650924+00:00,train,1,38,self,1.0,0,,
2025-11-27T00:54:54.651062+00:00,train,1,39,self,1.0,0,,
2025-11-27T00:54:54.651202+00:00,train,1,40,self,1.0,0,,
2025-11-27T00:54:54.651342+00:00,train,1,41,self,1.0,0,,
2025-11-27T00:54:54.651482+00:00,train,1,42,self,1.0,0,,
2025-11-27T00:54:54.651621+00:00,train,1,43,self,1.0,0,,
2025-11-27T00:54:54.651761+00:00,train,1,44,self,1.0,0,,
2025-11-27T00:54:54.651900+00:00,train,1,45,self,1.0,0,,
2025-11-27T00:54:54.652040+00:00,train,1,46,self,1.0,0,,
2025-11-27T00:54:54.652189+00:00,train,1,47,self,1.0,0,,
2025-11-27T00:54:54.652330+00:00,train,1,48,self,1.0,0,,
2025-11-27T00:54:54.652469+00:00,train,1,49,self,1.0,0,,
2025-11-27T00:54:54.652609+00:00,train,1,50,self,1.0,0,,
2025-11-27T00:54:54.652750+00:00,train,1,51,self,1.0,0,,
2025-11-27T00:54:54.652894+00:00,train,1,52,self,1.0,0,,
2025-11-27T00:54:54.653035+00:00,train,1,53,self,1.0,0,,
2025-11-27T00:54:54.653176+00:00,train,1,54,self,1.0,0,,
2025-11-27T00:54:54.653316+00:00,train,1,55,self,1.0,0,,
2025-11-27T00:54:54.653457+00:00,train,1,56,self,1.0,0,,
2025-11-27T00:54:54.653597+00:00,train,1,57,self,1.0,0,,
2025-11-27T00:54:54.653736+00:00,train,1,58,self,1.0,0,,
2025-11-27T00:54:54.653966+00:00,train,1,59,self,1.0,0,,
2025-11-27T00:54:54.654163+00:00,train,1,60,self,1.0,0,,
2025-11-27T00:54:54.654327+00:00,train,1,61,self,1.0,0,,
2025-11-27T00:54:54.654482+00:00,train,1,62,self,1.0,0,,
2025-11-27T00:54:54.654630+00:00,train,1,63,self,1.0,0,,
2025-11-27T00:54:54.654774+00:00,train,1,64,self,1.0,0,,
2025-11-27T00:54:54.654955+00:00,train,1,65,self,1.0,0,,
2025-11-27T00:54:54.655179+00:00,train,1,66,self,1.0,0,,
2025-11-27T00:54:54.655340+00:00,train,1,67,self,1.0,0,,
2025-11-27T00:54:54.655491+00:00,train,1,68,self,1.0,0,,
2025-11-27T00:54:54.655637+00:00,train,1,69,self,1.0,0,,
2025-11-27T00:54:54.655894+00:00,train,1,70,self,1.0,0,,
2025-11-27T00:54:54.656037+00:00,train,1,71,self,1.0,0,,
2025-11-27T00:54:54.656180+00:00,train,1,72,self,1.0,0,,
2025-11-27T00:54:54.656407+00:00,train,1,73,self,1.0,0,,
2025-11-27T00:54:54.656583+00:00,train,1,74,self,1.0,0,,
2025-11-27T00:54:54.656745+00:00,train,1,75,self,1.0,0,,
2025-11-27T00:54:54.656899+00:00,train,1,76,self,1.0,0,,
2025-11-27T00:54:54.657055+00:00,train,1,77,self,1.0,0,,
2025-11-27T00:54:54.657205+00:00,train,1,78,self,1.0,0,,
2025-11-27T00:54:54.657352+00:00,train,1,79,self,1.0,0,,
2025-11-27T00:54:54.657498+00:00,train,1,80,self,1.0,0,,
2025-11-27T00:54:54.657643+00:00,train,1,81,self,1.0,0,,
2025-11-27T00:54:54.657787+00:00,train,1,82,self,1.0,0,,
2025-11-27T00:54:54.657933+00:00,train,1,83,self,1.0,0,,
2025-11-27T00:54:54.658077+00:00,train,1,84,self,1.0,0,,
2025-11-27T00:54:54.658222+00:00,train,1,85,self,1.0,0,,
2025-11-27T00:54:54.658365+00:00,train,1,86,self,1.0,0,,
2025-11-27T00:54:54.658509+00:00,train,1,87,self,1.0,0,,
2025-11-27T00:54:54.658661+00:00,train,1,88,self,1.0,0,,
2025-11-27T00:54:54.658819+00:00,train,1,89,self,1.0,0,,
2025-11-27T00:54:54.658958+00:00,train,1,90,self,1.0,0,,
