timestamp,phase,round,episode,opponent,epsilon,outcome,p1_moves,p2_moves
2025-11-27T03:07:29.521531+00:00,run_start,0,0,,1.0,,,
2025-11-27T03:12:10.160642+00:00,train,1,1,self,1.0,0,98,
2025-11-27T03:12:10.162668+00:00,train,1,2,self,1.0,0,99,
2025-11-27T03:12:10.164810+00:00,train,1,3,self,1.0,0,92,
2025-11-27T03:12:10.164952+00:00,train,1,4,self,1.0,0,94,
2025-11-27T03:12:10.165077+00:00,train,1,5,self,1.0,0,92,
2025-11-27T03:12:10.165211+00:00,train,1,6,self,1.0,0,100,
2025-11-27T03:12:10.165328+00:00,train,1,7,self,1.0,0,92,
2025-11-27T03:12:10.165444+00:00,train,1,8,self,1.0,0,99,
2025-11-27T03:12:10.165559+00:00,train,1,9,self,1.0,0,98,
2025-11-27T03:12:10.165673+00:00,train,1,10,self,1.0,0,100,
2025-11-27T03:12:10.165835+00:00,train,1,11,self,1.0,0,97,
2025-11-27T03:12:10.165963+00:00,train,1,12,self,1.0,0,98,
2025-11-27T03:12:10.166113+00:00,train,1,13,self,1.0,0,95,
2025-11-27T03:12:10.166238+00:00,train,1,14,self,1.0,0,99,
2025-11-27T03:12:10.166371+00:00,train,1,15,self,1.0,0,97,
2025-11-27T03:12:10.166486+00:00,train,1,16,self,1.0,0,97,
2025-11-27T03:12:10.166631+00:00,train,1,17,self,1.0,0,97,
2025-11-27T03:12:10.166749+00:00,train,1,18,self,1.0,0,100,
2025-11-27T03:12:10.166880+00:00,train,1,19,self,1.0,0,89,
2025-11-27T03:12:10.166993+00:00,train,1,20,self,1.0,0,96,
2025-11-27T03:12:10.167248+00:00,train,1,21,self,1.0,0,91,
2025-11-27T03:12:10.167396+00:00,train,1,22,self,1.0,0,94,
2025-11-27T03:12:10.167529+00:00,train,1,23,self,1.0,0,98,
2025-11-27T03:12:10.167657+00:00,train,1,24,self,1.0,0,100,
2025-11-27T03:12:10.167782+00:00,train,1,25,self,1.0,0,95,
2025-11-27T03:12:10.167906+00:00,train,1,26,self,1.0,0,99,
2025-11-27T03:12:10.168090+00:00,train,1,27,self,1.0,0,82,
2025-11-27T03:12:10.168228+00:00,train,1,28,self,1.0,0,99,
2025-11-27T03:12:10.168409+00:00,train,1,29,self,1.0,0,80,
2025-11-27T03:12:10.168554+00:00,train,1,30,self,1.0,0,100,
2025-11-27T03:12:10.168688+00:00,train,1,31,self,1.0,0,97,
2025-11-27T03:12:10.168817+00:00,train,1,32,self,1.0,0,99,
2025-11-27T03:12:10.168958+00:00,train,1,33,self,1.0,0,94,
2025-11-27T03:12:10.169086+00:00,train,1,34,self,1.0,0,100,
2025-11-27T03:12:10.169236+00:00,train,1,35,self,1.0,0,93,
2025-11-27T03:12:10.169363+00:00,train,1,36,self,1.0,0,99,
2025-11-27T03:12:10.169544+00:00,train,1,37,self,1.0,0,95,
2025-11-27T03:12:10.169687+00:00,train,1,38,self,1.0,0,99,
2025-11-27T03:12:10.169818+00:00,train,1,39,self,1.0,0,88,
2025-11-27T03:12:10.169944+00:00,train,1,40,self,1.0,0,94,
2025-11-27T03:12:10.170068+00:00,train,1,41,self,1.0,0,95,
2025-11-27T03:12:10.170216+00:00,train,1,42,self,1.0,0,98,
2025-11-27T03:12:10.170345+00:00,train,1,43,self,1.0,0,97,
2025-11-27T03:12:10.170471+00:00,train,1,44,self,1.0,0,97,
2025-11-27T03:12:10.170597+00:00,train,1,45,self,1.0,0,85,
2025-11-27T03:12:10.170722+00:00,train,1,46,self,1.0,0,100,
2025-11-27T03:12:10.170854+00:00,train,1,47,self,1.0,0,92,
2025-11-27T03:12:10.170979+00:00,train,1,48,self,1.0,0,98,
