timestamp,phase,round,episode,opponent,epsilon,outcome,p1_moves,p2_moves
2025-11-27T08:56:53.569004+00:00,run_start,0,0,,1.0,,,
2025-11-27T08:57:04.772680+00:00,train,1,1,self,1.0,0,92,
2025-11-27T08:57:04.772939+00:00,train,1,2,self,1.0,0,100,
2025-11-27T08:57:04.773424+00:00,train,1,3,self,1.0,0,93,
2025-11-27T08:57:04.773600+00:00,train,1,4,self,1.0,0,100,
2025-11-27T08:57:04.773760+00:00,train,1,5,self,1.0,0,95,
2025-11-27T08:57:04.773914+00:00,train,1,6,self,1.0,0,99,
2025-11-27T08:57:04.774067+00:00,train,1,7,self,1.0,0,95,
2025-11-27T08:57:04.774214+00:00,train,1,8,self,1.0,0,100,
2025-11-27T08:57:04.774361+00:00,train,1,9,self,1.0,0,88,
2025-11-27T08:57:04.774508+00:00,train,1,10,self,1.0,0,93,
2025-11-27T08:57:04.774655+00:00,train,1,11,self,1.0,0,94,
2025-11-27T08:57:04.774801+00:00,train,1,12,self,1.0,0,100,
2025-11-27T08:57:04.774945+00:00,train,1,13,self,1.0,0,93,
2025-11-27T08:57:04.775090+00:00,train,1,14,self,1.0,0,95,
2025-11-27T08:57:04.775235+00:00,train,1,15,self,1.0,0,88,
2025-11-27T08:57:04.775381+00:00,train,1,16,self,1.0,0,95,
2025-11-27T08:57:04.775525+00:00,train,1,17,self,1.0,0,96,
2025-11-27T08:57:04.775670+00:00,train,1,18,self,1.0,0,98,
2025-11-27T08:57:04.775817+00:00,train,1,19,self,1.0,0,93,
2025-11-27T08:57:04.775963+00:00,train,1,20,self,1.0,0,99,
2025-11-27T08:57:04.776116+00:00,train,1,21,self,1.0,0,90,
2025-11-27T08:57:04.776268+00:00,train,1,22,self,1.0,0,99,
2025-11-27T08:57:04.776415+00:00,train,1,23,self,1.0,0,95,
2025-11-27T08:57:04.776561+00:00,train,1,24,self,1.0,0,98,
2025-11-27T08:57:04.776708+00:00,train,1,25,self,1.0,0,97,
2025-11-27T08:57:04.776855+00:00,train,1,26,self,1.0,0,100,
2025-11-27T08:57:04.777001+00:00,train,1,27,self,1.0,0,100,
2025-11-27T08:57:04.777160+00:00,train,1,28,self,1.0,0,100,
2025-11-27T08:57:04.777301+00:00,train,1,29,self,1.0,0,98,
2025-11-27T08:57:04.777442+00:00,train,1,30,self,1.0,0,99,
2025-11-27T08:57:04.777582+00:00,train,1,31,self,1.0,0,93,
2025-11-27T08:57:04.777723+00:00,train,1,32,self,1.0,0,99,
2025-11-27T08:57:04.777869+00:00,train,1,33,self,1.0,0,87,
2025-11-27T08:57:04.778011+00:00,train,1,34,self,1.0,0,92,
2025-11-27T08:57:04.778158+00:00,train,1,35,self,1.0,0,94,
2025-11-27T08:57:04.778299+00:00,train,1,36,self,1.0,0,100,
2025-11-27T08:57:04.778441+00:00,train,1,37,self,1.0,0,86,
2025-11-27T08:57:04.778582+00:00,train,1,38,self,1.0,0,90,
2025-11-27T08:57:04.778723+00:00,train,1,39,self,1.0,0,80,
2025-11-27T08:57:04.778863+00:00,train,1,40,self,1.0,0,90,
2025-11-27T08:57:04.779004+00:00,train,1,41,self,1.0,0,91,
2025-11-27T08:57:04.779144+00:00,train,1,42,self,1.0,0,98,
2025-11-27T08:57:04.779285+00:00,train,1,43,self,1.0,0,83,
2025-11-27T08:57:04.779425+00:00,train,1,44,self,1.0,0,93,
2025-11-27T08:57:04.779566+00:00,train,1,45,self,1.0,0,100,
2025-11-27T08:57:04.779707+00:00,train,1,46,self,1.0,0,100,
2025-11-27T08:57:04.779847+00:00,train,1,47,self,1.0,0,99,
2025-11-27T08:57:04.779988+00:00,train,1,48,self,1.0,0,99,
2025-11-27T08:57:04.780128+00:00,train,1,49,self,1.0,0,99,
2025-11-27T08:57:04.780269+00:00,train,1,50,self,1.0,0,100,
2025-11-27T08:57:04.780411+00:00,train,1,51,self,1.0,0,91,
2025-11-27T08:57:04.780554+00:00,train,1,52,self,1.0,0,98,
2025-11-27T08:57:04.780696+00:00,train,1,53,self,1.0,0,91,
2025-11-27T08:57:04.780838+00:00,train,1,54,self,1.0,0,100,
2025-11-27T08:57:04.780979+00:00,train,1,55,self,1.0,0,96,
2025-11-27T08:57:04.781120+00:00,train,1,56,self,1.0,0,99,
2025-11-27T08:57:04.781261+00:00,train,1,57,self,1.0,0,97,
2025-11-27T08:57:04.781403+00:00,train,1,58,self,1.0,0,98,
2025-11-27T08:57:04.781544+00:00,train,1,59,self,1.0,0,91,
2025-11-27T08:57:04.781687+00:00,train,1,60,self,1.0,0,95,
2025-11-27T08:57:04.781829+00:00,train,1,61,self,1.0,0,71,
2025-11-27T08:57:04.781969+00:00,train,1,62,self,1.0,0,94,
2025-11-27T08:57:04.782109+00:00,train,1,63,self,1.0,0,94,
