timestamp,phase,round,episode,opponent,epsilon,outcome,moves,win_rate,baseline_win_rate
2025-11-27T00:38:25.139323+00:00,run_start,0,0,,1.0,,,,
2025-11-27T00:38:36.157813+00:00,train,1,1,self,1.0,0,88,,
2025-11-27T00:38:36.158086+00:00,train,1,2,self,1.0,0,98,,
2025-11-27T00:38:36.158439+00:00,train,1,3,self,1.0,0,98,,
2025-11-27T00:38:36.158624+00:00,train,1,4,self,1.0,0,98,,
2025-11-27T00:38:36.158806+00:00,train,1,5,self,1.0,0,95,,
2025-11-27T00:38:36.158980+00:00,train,1,6,self,1.0,0,99,,
2025-11-27T00:38:36.159149+00:00,train,1,7,self,1.0,0,91,,
2025-11-27T00:38:36.159370+00:00,train,1,8,self,1.0,0,100,,
2025-11-27T00:38:36.159585+00:00,train,1,9,self,1.0,0,91,,
2025-11-27T00:38:36.159755+00:00,train,1,10,self,1.0,0,94,,
2025-11-27T00:38:36.159915+00:00,train,1,11,self,1.0,0,94,,
2025-11-27T00:38:36.160076+00:00,train,1,12,self,1.0,0,98,,
2025-11-27T00:38:36.160228+00:00,train,1,13,self,1.0,0,98,,
2025-11-27T00:38:36.160380+00:00,train,1,14,self,1.0,0,99,,
2025-11-27T00:38:36.160531+00:00,train,1,15,self,1.0,0,93,,
2025-11-27T00:38:36.160699+00:00,train,1,16,self,1.0,0,94,,
2025-11-27T00:38:36.160866+00:00,train,1,17,self,1.0,0,84,,
2025-11-27T00:38:36.161020+00:00,train,1,18,self,1.0,0,85,,
2025-11-27T00:38:36.161169+00:00,train,1,19,self,1.0,0,90,,
2025-11-27T00:38:36.161315+00:00,train,1,20,self,1.0,0,99,,
2025-11-27T00:38:36.161461+00:00,train,1,21,self,1.0,0,88,,
2025-11-27T00:38:36.161606+00:00,train,1,22,self,1.0,0,100,,
2025-11-27T00:38:36.161752+00:00,train,1,23,self,1.0,0,94,,
2025-11-27T00:38:36.161897+00:00,train,1,24,self,1.0,0,97,,
2025-11-27T00:38:36.162043+00:00,train,1,25,self,1.0,0,95,,
2025-11-27T00:38:36.162189+00:00,train,1,26,self,1.0,0,100,,
2025-11-27T00:38:36.162334+00:00,train,1,27,self,1.0,0,85,,
2025-11-27T00:38:36.162478+00:00,train,1,28,self,1.0,0,93,,
2025-11-27T00:38:36.162622+00:00,train,1,29,self,1.0,0,96,,
2025-11-27T00:38:36.162780+00:00,train,1,30,self,1.0,0,100,,
2025-11-27T00:38:36.162919+00:00,train,1,31,self,1.0,0,99,,
2025-11-27T00:38:36.163061+00:00,train,1,32,self,1.0,0,99,,
2025-11-27T00:38:36.163201+00:00,train,1,33,self,1.0,0,87,,
2025-11-27T00:38:36.163350+00:00,train,1,34,self,1.0,0,98,,
2025-11-27T00:38:36.163490+00:00,train,1,35,self,1.0,0,93,,
2025-11-27T00:38:36.163630+00:00,train,1,36,self,1.0,0,100,,
2025-11-27T00:38:36.163770+00:00,train,1,37,self,1.0,0,95,,
2025-11-27T00:38:36.163909+00:00,train,1,38,self,1.0,0,99,,
2025-11-27T00:38:36.164048+00:00,train,1,39,self,1.0,0,90,,
2025-11-27T00:38:36.164188+00:00,train,1,40,self,1.0,0,97,,
2025-11-27T00:38:36.164328+00:00,train,1,41,self,1.0,0,99,,
2025-11-27T00:38:36.164467+00:00,train,1,42,self,1.0,0,100,,
2025-11-27T00:38:36.164606+00:00,train,1,43,self,1.0,0,97,,
2025-11-27T00:38:36.164746+00:00,train,1,44,self,1.0,0,99,,
2025-11-27T00:38:36.164885+00:00,train,1,45,self,1.0,0,99,,
2025-11-27T00:38:36.165024+00:00,train,1,46,self,1.0,0,100,,
2025-11-27T00:38:36.165164+00:00,train,1,47,self,1.0,0,95,,
2025-11-27T00:38:36.165302+00:00,train,1,48,self,1.0,0,98,,
2025-11-27T00:38:36.165443+00:00,train,1,49,self,1.0,0,100,,
2025-11-27T00:38:36.165583+00:00,train,1,50,self,1.0,0,100,,
2025-11-27T00:38:36.165722+00:00,train,1,51,self,1.0,0,95,,
2025-11-27T00:38:36.165860+00:00,train,1,52,self,1.0,0,96,,
2025-11-27T00:38:36.165999+00:00,train,1,53,self,1.0,0,99,,
2025-11-27T00:38:36.166138+00:00,train,1,54,self,1.0,0,100,,
2025-11-27T00:38:36.166278+00:00,train,1,55,self,1.0,0,99,,
2025-11-27T00:38:36.166417+00:00,train,1,56,self,1.0,0,100,,
2025-11-27T00:38:36.166557+00:00,train,1,57,self,1.0,0,97,,
2025-11-27T00:38:36.166697+00:00,train,1,58,self,1.0,0,100,,
2025-11-27T00:38:36.166837+00:00,train,1,59,self,1.0,0,91,,
2025-11-27T00:38:36.166976+00:00,train,1,60,self,1.0,0,98,,
2025-11-27T00:38:36.167117+00:00,train,1,61,self,1.0,0,93,,
2025-11-27T00:38:36.167257+00:00,train,1,62,self,1.0,0,97,,
2025-11-27T00:38:36.167397+00:00,train,1,63,self,1.0,0,96,,
2025-11-27T00:38:36.167537+00:00,train,1,64,self,1.0,0,100,,
2025-11-27T00:38:36.167677+00:00,train,1,65,self,1.0,0,96,,
2025-11-27T00:38:36.167919+00:00,train,1,66,self,1.0,0,96,,
2025-11-27T00:38:36.168063+00:00,train,1,67,self,1.0,0,94,,
2025-11-27T00:38:36.168287+00:00,train,1,68,self,1.0,0,98,,
2025-11-27T00:38:36.168489+00:00,train,1,69,self,1.0,0,97,,
2025-11-27T00:38:36.168651+00:00,train,1,70,self,1.0,0,98,,
2025-11-27T00:38:36.168804+00:00,train,1,71,self,1.0,0,89,,
2025-11-27T00:38:36.168954+00:00,train,1,72,self,1.0,0,95,,
2025-11-27T00:38:36.169101+00:00,train,1,73,self,1.0,0,83,,
2025-11-27T00:38:36.169246+00:00,train,1,74,self,1.0,0,100,,
2025-11-27T00:38:36.169397+00:00,train,1,75,self,1.0,0,89,,
2025-11-27T00:38:36.169544+00:00,train,1,76,self,1.0,0,96,,
2025-11-27T00:38:36.169688+00:00,train,1,77,self,1.0,0,97,,
2025-11-27T00:38:36.169831+00:00,train,1,78,self,1.0,0,97,,
2025-11-27T00:38:36.169973+00:00,train,1,79,self,1.0,0,96,,
2025-11-27T00:38:36.170115+00:00,train,1,80,self,1.0,0,99,,
2025-11-27T00:38:36.170258+00:00,train,1,81,self,1.0,0,98,,
2025-11-27T00:38:36.170401+00:00,train,1,82,self,1.0,0,100,,
2025-11-27T00:38:36.170556+00:00,train,1,83,self,1.0,0,92,,
2025-11-27T00:38:36.170700+00:00,train,1,84,self,1.0,0,93,,
2025-11-27T00:38:36.170842+00:00,train,1,85,self,1.0,0,95,,
2025-11-27T00:38:36.170985+00:00,train,1,86,self,1.0,0,97,,
2025-11-27T00:38:36.171128+00:00,train,1,87,self,1.0,0,90,,
2025-11-27T00:38:36.171270+00:00,train,1,88,self,1.0,0,99,,
2025-11-27T00:38:36.171412+00:00,train,1,89,self,1.0,0,96,,
2025-11-27T00:38:36.171553+00:00,train,1,90,self,1.0,0,99,,
2025-11-27T00:38:36.171699+00:00,train,1,91,self,1.0,0,96,,
2025-11-27T00:38:36.171842+00:00,train,1,92,self,1.0,0,99,,
2025-11-27T00:38:36.171985+00:00,train,1,93,self,1.0,0,96,,
2025-11-27T00:38:36.172127+00:00,train,1,94,self,1.0,0,100,,
2025-11-27T00:38:36.172274+00:00,train,1,95,self,1.0,0,78,,
2025-11-27T00:38:36.172417+00:00,train,1,96,self,1.0,0,100,,
2025-11-27T00:38:36.172559+00:00,train,1,97,self,1.0,0,97,,
2025-11-27T00:38:36.172702+00:00,train,1,98,self,1.0,0,98,,
2025-11-27T00:38:36.172844+00:00,train,1,99,self,1.0,0,72,,
2025-11-27T00:38:36.172986+00:00,train,1,100,self,1.0,0,97,,
2025-11-27T00:38:36.173127+00:00,train,1,101,self,1.0,0,96,,
2025-11-27T00:38:36.173274+00:00,train,1,102,self,1.0,0,99,,
2025-11-27T00:38:36.173417+00:00,train,1,103,self,1.0,0,90,,
2025-11-27T00:38:36.173560+00:00,train,1,104,self,1.0,0,98,,
2025-11-27T00:38:36.173701+00:00,train,1,105,self,1.0,0,85,,
2025-11-27T00:38:36.173843+00:00,train,1,106,self,1.0,0,100,,
2025-11-27T00:38:36.173985+00:00,train,1,107,self,1.0,0,95,,
