timestamp,phase,round,episode,opponent,epsilon,outcome,p1_moves,p2_moves
2025-11-29T09:11:41.095689+00:00,run_start,0,0,,1.0,,,
2025-11-29T09:12:15.201907+00:00,train,1,1,self,1.0,0,94,
2025-11-29T09:12:15.202951+00:00,train,1,2,self,1.0,0,97,
2025-11-29T09:12:15.203118+00:00,train,1,3,self,1.0,0,98,
2025-11-29T09:12:15.203279+00:00,train,1,4,self,1.0,0,100,
2025-11-29T09:12:15.203426+00:00,train,1,5,self,1.0,0,96,
2025-11-29T09:12:15.203568+00:00,train,1,6,self,1.0,0,98,
2025-11-29T09:12:15.203707+00:00,train,1,7,self,1.0,0,100,
2025-11-29T09:12:15.203842+00:00,train,1,8,self,1.0,0,100,
2025-11-29T09:12:15.203976+00:00,train,1,9,self,1.0,0,93,
2025-11-29T09:12:15.204110+00:00,train,1,10,self,1.0,0,98,
2025-11-29T09:12:15.204252+00:00,train,1,11,self,1.0,0,99,
2025-11-29T09:12:15.204393+00:00,train,1,12,self,1.0,0,100,
2025-11-29T09:12:15.204529+00:00,train,1,13,self,1.0,0,94,
2025-11-29T09:12:15.204664+00:00,train,1,14,self,1.0,0,98,
2025-11-29T09:12:15.204800+00:00,train,1,15,self,1.0,0,99,
2025-11-29T09:12:15.204933+00:00,train,1,16,self,1.0,0,100,
2025-11-29T09:12:15.205076+00:00,train,1,17,self,1.0,0,93,
2025-11-29T09:12:15.205211+00:00,train,1,18,self,1.0,0,99,
2025-11-29T09:12:15.205345+00:00,train,1,19,self,1.0,0,100,
2025-11-29T09:12:15.205487+00:00,train,1,20,self,1.0,0,100,
2025-11-29T09:12:15.205621+00:00,train,1,21,self,1.0,0,82,
2025-11-29T09:12:15.205763+00:00,train,1,22,self,1.0,0,96,
2025-11-29T09:12:15.205899+00:00,train,1,23,self,1.0,0,100,
2025-11-29T09:12:15.206039+00:00,train,1,24,self,1.0,0,100,
2025-11-29T09:12:15.206176+00:00,train,1,25,self,1.0,0,96,
2025-11-29T09:12:15.206310+00:00,train,1,26,self,1.0,0,99,
2025-11-29T09:12:15.206472+00:00,train,1,27,self,1.0,0,100,
2025-11-29T09:12:15.206610+00:00,train,1,28,self,1.0,0,100,
2025-11-29T09:12:15.206754+00:00,train,1,29,self,1.0,0,87,
2025-11-29T09:12:15.206954+00:00,train,1,30,self,1.0,0,92,
2025-11-29T09:12:15.207185+00:00,train,1,31,self,1.0,0,98,
2025-11-29T09:12:15.207356+00:00,train,1,32,self,1.0,0,99,
2025-11-29T09:12:15.207505+00:00,train,1,33,self,1.0,0,88,
2025-11-29T09:12:15.207657+00:00,train,1,34,self,1.0,0,95,
2025-11-29T09:12:15.207797+00:00,train,1,35,self,1.0,0,97,
2025-11-29T09:12:15.207944+00:00,train,1,36,self,1.0,0,98,
2025-11-29T09:12:15.208080+00:00,train,1,37,self,1.0,0,86,
2025-11-29T09:12:15.208215+00:00,train,1,38,self,1.0,0,96,
2025-11-29T09:12:15.208349+00:00,train,1,39,self,1.0,0,97,
2025-11-29T09:12:15.208484+00:00,train,1,40,self,1.0,0,99,
2025-11-29T09:12:15.208616+00:00,train,1,41,self,1.0,0,91,
2025-11-29T09:12:15.208750+00:00,train,1,42,self,1.0,0,95,
2025-11-29T09:12:15.208892+00:00,train,1,43,self,1.0,0,96,
2025-11-29T09:12:15.209035+00:00,train,1,44,self,1.0,0,96,
2025-11-29T09:12:15.209186+00:00,train,1,45,self,1.0,0,75,
2025-11-29T09:12:15.209323+00:00,train,1,46,self,1.0,0,93,
2025-11-29T09:12:15.209455+00:00,train,1,47,self,1.0,0,95,
2025-11-29T09:12:15.209587+00:00,train,1,48,self,1.0,0,97,
2025-11-29T09:12:15.209722+00:00,train,1,49,self,1.0,0,90,
2025-11-29T09:12:15.209852+00:00,train,1,50,self,1.0,0,97,
2025-11-29T09:12:15.209990+00:00,train,1,51,self,1.0,0,97,
2025-11-29T09:12:15.210121+00:00,train,1,52,self,1.0,0,99,
2025-11-29T09:12:15.210259+00:00,train,1,53,self,1.0,0,86,
2025-11-29T09:12:15.210402+00:00,train,1,54,self,1.0,0,90,
2025-11-29T09:12:15.210534+00:00,train,1,55,self,1.0,0,94,
2025-11-29T09:12:15.210674+00:00,train,1,56,self,1.0,0,97,
2025-11-29T09:12:15.210806+00:00,train,1,57,self,1.0,0,96,
2025-11-29T09:12:15.210945+00:00,train,1,58,self,1.0,0,99,
2025-11-29T09:12:15.211082+00:00,train,1,59,self,1.0,0,100,
2025-11-29T09:12:15.211214+00:00,train,1,60,self,1.0,0,100,
2025-11-29T09:12:15.211344+00:00,train,1,61,self,1.0,0,87,
2025-11-29T09:12:15.211474+00:00,train,1,62,self,1.0,0,99,
2025-11-29T09:12:15.211604+00:00,train,1,63,self,1.0,0,100,
2025-11-29T09:12:15.211733+00:00,train,1,64,self,1.0,0,100,
2025-11-29T09:12:15.211871+00:00,train,1,65,self,1.0,0,83,
2025-11-29T09:12:15.212002+00:00,train,1,66,self,1.0,0,94,
2025-11-29T09:12:15.212140+00:00,train,1,67,self,1.0,0,98,
2025-11-29T09:12:15.212382+00:00,train,1,68,self,1.0,0,100,
